participant_name,label_draftkings,label_pointsbet,label_caesers
Atlanta Hawks,ATL Hawks,Atlanta Hawks,Atlanta Hawks
Brooklyn Nets,BKN Nets,Brooklyn Nets,Brooklyn Nets
Boston Celtics,BOS Celtics,Boston Celtics,Boston Celtics
Charlotte Hornets,CHA Hornets,Charlotte Hornets,Charlotte Hornets
Chicago Bulls,CHI Bulls,Chicago Bulls,Chicago Bulls
Cleveland Cavaliers,CLE Cavaliers,Cleveland Cavaliers,Cleveland Cavaliers
Dallas Mavericks,DAL Mavericks,Dallas Mavericks,Dallas Mavericks
Detroit Pistons,DET Pistons,Detroit Pistons,Detroit Pistons
Golden State Warriors,GS Warriors,Golden State Warriors,Golden State Warriors
Houston Rockets,HOU Rockets,Houston Rockets,Houston Rockets
Indiana Pacers,IND Pacers,Indiana Pacers,Indiana Pacers
Los Angeles Clippers,LA Clippers,Los Angeles Clippers,Los Angeles Clippers
Los Angeles Lakers,LA Lakers,Los Angeles Lakers,Los Angeles Lakers
Memphis Grizzlies,MEM Grizzlies,Memphis Grizzlies,Memphis Grizzlies
Miami Heat,MIA Heat,Miami Heat,Miami Heat
Milwaukee Bucks,MIL Bucks,Milwaukee Bucks,Milwaukee Bucks
Minnesota Timberwolves,MIN Timberwolves,Minnesota Timberwolves,Minnesota Timberwolves
New York Knicks,NY Knicks,New York Knicks,New York Knicks
Oklahoma City Thunder,OKC Thunder,Oklahoma City Thunder,Oklahoma City Thunder
Orlando Magic,ORL Magic,Orlando Magic,Orlando Magic
Philadelphia 76ers,PHI 76ers,Philadelphia 76ers,Philadelphia 76ers
Phoenix Suns,PHO Suns,Phoenix Suns,Phoenix Suns
Portland Trail Blazers,POR Trail Blazers,Portland Trail Blazers,Portland Trail Blazers
San Antonio Spurs,SA Spurs,San Antonio Spurs,San Antonio Spurs
Sacramento Kings,SAC Kings,Sacramento Kings,Sacramento Kings
Toronto Raptors,TOR Raptors,Toronto Raptors,Toronto Raptors
Utah Jazz,UTA Jazz,Utah Jazz,Utah Jazz
Washington Wizards,WAS Wizards,Washington Wizards,Washington Wizards
