participant_name,label_draftkings,label_pointsbet,label_caesers,label_betmgm,label_wynn
Atlanta Hawks,ATL Hawks,Atlanta Hawks,Atlanta Hawks,Atlanta Hawks,ATL Hawks
Brooklyn Nets,BKN Nets,Brooklyn Nets,Brooklyn Nets,Brooklyn Nets,BKN Nets
Boston Celtics,BOS Celtics,Boston Celtics,Boston Celtics,Boston Celtics,BOS Celtics
Charlotte Hornets,CHA Hornets,Charlotte Hornets,Charlotte Hornets,Charlotte Hornets,CHA Hornets
Chicago Bulls,CHI Bulls,Chicago Bulls,Chicago Bulls,Chicago Bulls,CHI Bulls
Cleveland Cavaliers,CLE Cavaliers,Cleveland Cavaliers,Cleveland Cavaliers,Cleveland Cavaliers,CLE Cavaliers
Dallas Mavericks,DAL Mavericks,Dallas Mavericks,Dallas Mavericks,Dallas Mavericks,DAL Mavericks
Detroit Pistons,DET Pistons,Detroit Pistons,Detroit Pistons,Detroit Pistons,DET Pistons
Denver Nuggets,DEN Nuggets,Denver Nuggets,Denver Nuggets,Denver Nuggets,DEN Nuggets
Golden State Warriors,GS Warriors,Golden State Warriors,Golden State Warriors,Golden State Warriors,GS Warriors
Houston Rockets,HOU Rockets,Houston Rockets,Houston Rockets,Houston Rockets,HOU Rockets
Indiana Pacers,IND Pacers,Indiana Pacers,Indiana Pacers,Indiana Pacers,IND Pacers
Los Angeles Clippers,LA Clippers,Los Angeles Clippers,Los Angeles Clippers,Los Angeles Clippers,LA Clippers
Los Angeles Lakers,LA Lakers,Los Angeles Lakers,Los Angeles Lakers,Los Angeles Lakers,LA Lakers
Memphis Grizzlies,MEM Grizzlies,Memphis Grizzlies,Memphis Grizzlies,Memphis Grizzlies,MEM Grizzlies
Miami Heat,MIA Heat,Miami Heat,Miami Heat,Miami Heat,MIA Heat
Milwaukee Bucks,MIL Bucks,Milwaukee Bucks,Milwaukee Bucks,Milwaukee Bucks,MIL Bucks
Minnesota Timberwolves,MIN Timberwolves,Minnesota Timberwolves,Minnesota Timberwolves,Minnesota Timberwolves,MIN Timberwolves
New Orleans Pelicans,NO Pelicans,New Orleans Pelicans,New Orleans Pelicans,New Orleans Pelicans,NO Pelicans
New York Knicks,NY Knicks,New York Knicks,New York Knicks,New York Knicks,NY Knicks
Oklahoma City Thunder,OKC Thunder,Oklahoma City Thunder,Oklahoma City Thunder,Oklahoma City Thunder,OKC Thunder
Orlando Magic,ORL Magic,Orlando Magic,Orlando Magic,Orlando Magic,ORL Magic
Philadelphia 76ers,PHI 76ers,Philadelphia 76ers,Philadelphia 76ers,Philadelphia 76ers,PHI 76ers
Phoenix Suns,PHO Suns,Phoenix Suns,Phoenix Suns,Phoenix Suns,PHO Suns
Portland Trail Blazers,POR Trail Blazers,Portland Trail Blazers,Portland Trail Blazers,Portland Trail Blazers,POR Trail Blazers
San Antonio Spurs,SA Spurs,San Antonio Spurs,San Antonio Spurs,San Antonio Spurs,SA Spurs
Sacramento Kings,SAC Kings,Sacramento Kings,Sacramento Kings,Sacramento Kings,SAC Kings
Toronto Raptors,TOR Raptors,Toronto Raptors,Toronto Raptors,Toronto Raptors,TOR Raptors
Utah Jazz,UTA Jazz,Utah Jazz,Utah Jazz,Utah Jazz,UTA Jazz
Washington Wizards,WAS Wizards,Washington Wizards,Washington Wizards,Washington Wizards,WAS Wizards
