participant_name,label_pointsbet,label_draftkings,label_caesers,label_betmgm
Air Force,Air Force,Air Force,Air Force Falcons,Air Force
Akron,Akron,Akron,Akron Zips,Akron
Alabama,Alabama,Alabama,Alabama,Alabama
Alabama A&M,Alabama A&M,Alabama A&M,Alabama A&M Bulldogs,Alabama A&M
Alcorn State,Alcorn State,Alcorn State,Alcorn State Braves,Alcorn State
Arizona,Arizona,Arizona,Arizona Wildcats,Arizona
Arizona State,Arizona State,Arizona State,Arizona State Sun Devils,Arizona State
Arkansas,Arkansas,Arkansas,Arkansas Razorbacks,Arkansas
Auburn,Auburn,Auburn,Auburn Tigers,Auburn
Ball State,Ball State,Ball State,Ball State Cardinals,Ball State
Baylor,Baylor,Baylor,Baylor Bears,Baylor
Bethune Cookman,Bethune Cookman,Bethune Cookman,Bethune-Cookman Wildcats,Bethune Cookman
Binghamton,Binghamton,Binghamton,,Binghamton
Boise State,Boise State,Boise State,Boise State Broncos,Boise State
Boston College,Boston College,Boston College,Boston College Eagles,Boston College
Buffalo,Buffalo,Buffalo,,Buffalo
Butler,Butler,Butler,,Butler
Cal Irvine,Cal Irvine,Cal Irvine,,Cal Irvine
Cal Poly SLO,Cal Poly SLO,Cal Poly SLO,Cal Poly Mustangs,Cal Poly SLO
Cal Riverside,Cal Riverside,Cal Riverside,,Cal Riverside
Cal State Bakersfield,Cal State Bakersfield,Cal State Bakersfield,Cal State Bakersfield,Cal State Bakersfield
Cal State Fullerton,Cal State Fullerton,Cal State Fullerton,Cal State Fullerton Titans,Cal State Fullerton
Cal State Northridge,Cal State Northridge,Cal State Northridge,Cal St Northridge,Cal State Northridge
California,California,California,California Golden Bears,California
California Baptist,California Baptist,California Baptist,California Baptist Lancers,California Baptist
Canisius,Canisius,Canisius,,Canisius
Central Florida,Central Florida,Central Florida,Central Florida Knights,Central Florida
Cincinnati,Cincinnati,Cincinnati,Cincinnati Bearcats,Cincinnati
Charlotte U,Charlotte U,Charlotte U,Charlotte 49ers,Charlotte U
Clemson,Clemson,Clemson,Clemson Tigers,Clemson
Cleveland State,Cleveland State,Cleveland State,Cleveland State Vikings,Cleveland State
Colgate,Colgate,Colgate,,Colgate
College Of Charleston,College Of Charleston,College Of Charleston,College of Charleston Cougars,College Of Charleston
Colorado,Colorado,Colorado,Colorado Buffaloes,Colorado
Colorado State,Colorado State,Colorado State,Colorado State Rams,Colorado State
Connecticut,Connecticut,Connecticut,Connecticut Huskies,Connecticut
Coppin State,Coppin State,Coppin State,Coppin State Eagles,Coppin State
Cornell,Cornell,Cornell,,Cornell
Creighton,Creighton,Creighton,Creighton Bluejays,Creighton
Davidson,Davidson,Davidson,Davidson Wildcats,Davidson
Dayton,Dayton,Dayton,Dayton Flyers,Dayton
Delaware State,Delaware State,Delaware State,Delaware State Hornets,Delaware State
DePaul,DePaul,DePaul,DePaul Blue Demons,DePaul
Duke,Duke,Duke,Duke Blue Devils,Duke
Duquesne,Duquesne,Duquesne,Duquesne Dukes,Duquesne
East Carolina,East Carolina,East Carolina,East Carolina Pirates,East Carolina
Fairfield,Fairfield,Fairfield,Fairfield Stags,Fairfield
Fairleigh Dickinson,Fairleigh Dickinson,Fairleigh Dickinson,Fairleigh Dickinson Knights,Fairleigh Dickinson
Florida,Florida,Florida,Florida Gators,Florida
Florida Atlantic,Florida Atlantic,Florida Atlantic,Florida Atlantic Owls,Florida Atlantic
Florida International,Florida International,Florida International,FIU Panthers,Florida International
Fordham,Fordham,Fordham,,Fordham
Fresno State,Fresno State,Fresno State,Fresno St Bulldogs,Fresno State
George Mason,George Mason,George Mason,George Mason Patriots,George Mason
George Washington,George Washington,George Washington,George Washington Colonials,George Washington
Georgetown,Georgetown,Georgetown,Georgetown Hoyas,Georgetown
Georgia,Georgia,Georgia,Georgia Bulldogs,Georgia
Georgia Tech,Georgia Tech,Georgia Tech,Georgia Tech Yellow Jackets,Georgia Tech
Gonzaga,Gonzaga,Gonzaga,Gonzaga Bulldogs,Gonzaga
Grambling,Grambling,Grambling,Grambling St Tigers,Grambling
Grand Canyon,Grand Canyon,Grand Canyon,Grand Canyon Antelopes,Grand Canyon
Hawaii,Hawaii,Hawaii,Hawaii Rainbow Warriors,Hawaii
Houston,Houston,Houston,Houston,Houston
Howard,Howard,Howard,Howard Bison,Howard
Illinois,Illinois,Illinois,Illinois Fighting Illini,Illinois
Indiana,Indiana,Indiana,Indiana Hoosiers,Indiana
Iona,Iona,Iona,,Iona
Iowa,Iowa,Iowa,Iowa Hawkeyes,Iowa
Iowa State,Iowa State,Iowa State,Iowa State Cyclones,Iowa State
Jackson State,Jackson State,Jackson State,Jackson State Tigers,Jackson State
Kentucky,Kentucky,Kentucky,Kentucky Wildcats,Kentucky
Kansas,Kansas,Kansas,Kansas Jayhawks,Kansas
Kansas State,Kansas State,Kansas State,Kansas State Wildcats,Kansas State
Kent State,Kent State,Kent State,Kent State Golden Flashes,Kent State
La Salle,La Salle,La Salle,La Salle Explorers,La Salle
Lafayette,Lafayette,Lafayette,,Lafayette
Long Beach State,Long Beach State,Long Beach State,Long Beach State Beach,Long Beach State
Louisiana Tech,Louisiana Tech,Louisiana Tech,Louisiana Tech Bulldogs,Louisiana Tech
Louisville,Louisville,Louisville,,Louisville
LSU,LSU,LSU,LSU Tigers,LSU
Manhattan,Manhattan,Manhattan,,Manhattan
Marist,Marist,Marist,,Marist
Marquette,Marquette,Marquette,Marquette Golden Eagles,Marquette
Maryland,Maryland,Maryland,Maryland Terrapins,Maryland
McNeese State,McNeese State,McNeese State,,McNeese State
MD Eastern Shore,MD Eastern Shore,MD Eastern Shore,Maryland Eastern Shore Hawks,MD Eastern Shore
Memphis,Memphis,Memphis,Memphis Tigers,Memphis
Merrimack,Merrimack,Merrimack,Merrimack Warriors,Merrimack
Miami Florida,Miami Florida,Miami Florida,Miami-Florida Hurricanes,Miami Florida
Miami Ohio,Miami Ohio,Miami Ohio,Miami Ohio Redhawks,Miami Ohio
Michigan,Michigan,Michigan,Michigan Wolverines,Michigan
Michigan State,Michigan State,Michigan State,Michigan State Spartans,Michigan State
Middle Tennessee State,Middle Tennessee State,Middle Tennessee State,Middle Tennessee Blue Raiders,Middle Tennessee State
Minnesota,Minnesota,Minnesota,Minnesota Golden Gophers,Minnesota
Mississippi,Mississippi,Mississippi,,Mississippi
Mississippi State,Mississippi State,Mississippi State,Mississippi State Bulldogs,Mississippi State
Missouri,Missouri,Missouri,Missouri Tigers,Missouri
Montana,Montana,Montana,Montana Grizzlies,Montana
Montana State,Montana State,Montana State,Montana State Bobcats,Montana State
Morgan State,Morgan State,Morgan State,Morgan State Bears,Morgan State
Mount St. Mary's (MD),Mount St. Mary's (MD),Mount St. Mary's (MD),,Mount St. Mary's (MD)
NC State,NC State,NC State,North Carolina State Wolfpack,NC State
NC Wilmington,NC Wilmington,NC Wilmington,,NC Wilmington
Nebraska,Nebraska,Nebraska,Nebraska Cornhuskers,Nebraska
Nevada,Nevada,Nevada,Nevada Wolf Pack,Nevada
New Hampshire,New Hampshire,New Hampshire,,New Hampshire
New Mexico,New Mexico,New Mexico,New Mexico Lobos,New Mexico
New Orleans,New Orleans,New Orleans,New Orleans Privateers,New Orleans
Niagara,Niagara,Niagara,,Niagara
Norfolk State,Norfolk State,Norfolk State,Norfolk State Spartans,Norfolk State
North Carolina,North Carolina,North Carolina,North Carolina Tar Heels,North Carolina
North Carolina Central,North Carolina Central,North Carolina Central,,North Carolina Central
North Dakota State,North Dakota State,North Dakota State,NC Central Eagles,North Dakota State
North Texas,North Texas,North Texas,North Texas Mean Green,North Texas
Northern Arizona,Northern Arizona,Northern Arizona,Northern Arizona Lumberjacks,Northern Arizona
Northern Illinois,Northern Illinois,Northern Illinois,Northern Illinois Huskies,Northern Illinois
Northern Kentucky,Northern Kentucky,Northern Kentucky,Northern Kentucky Norse,Northern Kentucky
Northwestern,Northwestern,Northwestern,Northwestern Wildcats,Northwestern
Northwestern State,Northwestern State,Northwestern State,Northwestern State Demons,Northwestern State
Notre Dame,Notre Dame,Notre Dame,Notre Dame Fighting Irish,Notre Dame
Ohio,Ohio,Ohio,Ohio Bobcats,Ohio
Ohio State,Ohio State,Ohio State,Ohio State Buckeyes,Ohio State
Oklahoma,Oklahoma,Oklahoma,Oklahoma Sooners,Oklahoma
Oklahoma State,Oklahoma State,Oklahoma State,Oklahoma State Cowboys,Oklahoma State
,Ole Miss Rebels,,Ole Miss Rebels,
Oral Roberts,,Oral Roberts,,Oral Roberts
Oregon,Oregon Ducks,Oregon,Oregon Ducks,Oregon
Oregon State,,Oregon State,,Oregon State
Pennsylvania,,Pennsylvania,,Pennsylvania
Penn State,Penn State Nittany Lions,Penn State,Penn State Nittany Lions,Penn State
